RNo,Day,Weekday,Student Location,LocationNumber,Mem,Abs,AttendancePercent,label,County,results
R00286,04-09-20,Friday,SOCORRO ISD,71909,46915,3151,93.13,6.87,El Paso,0
R00287,08-09-20,Tuesday,SOCORRO ISD,71909,46941,2490,94.51,5.49,El Paso,0
R00288,09-09-20,Wednesday,SOCORRO ISD,71909,46979,2263,95.02,4.98,El Paso,0
R00289,10-09-20,Thursday,SOCORRO ISD,71909,46983,2196,95.14,4.86,El Paso,0
R00290,11-09-20,Friday,SOCORRO ISD,71909,46990,2807,93.88,6.12,El Paso,0
R00291,14-09-20,Monday,SOCORRO ISD,71909,46983,2480,94.56,5.44,El Paso,0
R00292,15-09-20,Tuesday,SOCORRO ISD,71909,47010,2134,95.27,4.73,El Paso,0
R00293,16-09-20,Wednesday,SOCORRO ISD,71909,47027,2217,95.12,4.88,El Paso,0
R00294,17-09-20,Thursday,SOCORRO ISD,71909,47033,2491,94.51,5.49,El Paso,0
R00295,18-09-20,Friday,SOCORRO ISD,71909,47019,2974,93.51,6.49,El Paso,0
R00296,21-09-20,Monday,SOCORRO ISD,71909,47031,2551,94.94,5.06,El Paso,0
R00297,22-09-20,Tuesday,SOCORRO ISD,71909,47027,2290,94.93,5.07,El Paso,0
R00298,23-09-20,Wednesday,SOCORRO ISD,71909,47032,2201,95.15,4.85,El Paso,0
R00299,24-09-20,Thursday,SOCORRO ISD,71909,47043,2155,95.22,4.78,El Paso,0
R00300,25-09-20,Friday,SOCORRO ISD,71909,47050,2560,94.4,5.6,El Paso,0
R00301,28-09-20,Monday,SOCORRO ISD,71909,47044,2296,94.94,5.06,El Paso,0
R00302,29-09-20,Tuesday,SOCORRO ISD,71909,47043,1965,95.62,4.38,El Paso,0
R00303,30-09-20,Wednesday,SOCORRO ISD,71909,47050,1915,95.75,4.25,El Paso,0
R00304,01-10-20,Thursday,SOCORRO ISD,71909,47048,1947,95.66,4.34,El Paso,0
R00305,02-10-20,Friday,SOCORRO ISD,71909,47052,2377,94.78,5.22,El Paso,0
R00306,05-10-20,Monday,SOCORRO ISD,71909,47050,2147,95.25,4.75,El Paso,0
R00307,06-10-20,Tuesday,SOCORRO ISD,71909,47053,1781,96.0,4.0,El Paso,0
R00308,07-10-20,Wednesday,SOCORRO ISD,71909,47061,1612,96.39,3.61,El Paso,0
R00309,08-10-20,Thursday,SOCORRO ISD,71909,47052,1766,96.03,3.97,El Paso,0
R00310,09-10-20,Friday,SOCORRO ISD,71909,47040,2714,94.05,5.95,El Paso,0
R00311,26-10-20,Monday,SOCORRO ISD,71909,47009,2621,94.23,5.77,El Paso,0
R00312,27-10-20,Tuesday,SOCORRO ISD,71909,47049,2314,94.84,5.16,El Paso,0
R00313,28-10-20,Wednesday,SOCORRO ISD,71909,47061,2122,95.28,4.72,El Paso,0
R00314,29-10-20,Thursday,SOCORRO ISD,71909,47079,2072,95.33,4.67,El Paso,0
R00315,30-10-20,Friday,SOCORRO ISD,71909,47086,2526,94.29,5.71,El Paso,0
R00316,02-11-20,Monday,SOCORRO ISD,71909,47053,1945,95.59,4.41,El Paso,0
R00317,03-11-20,Tuesday,SOCORRO ISD,71909,47078,1866,95.71,4.29,El Paso,0
R00318,04-11-20,Wednesday,SOCORRO ISD,71909,47099,1896,95.51,4.49,El Paso,0
R00319,05-11-20,Thursday,SOCORRO ISD,71909,47098,2372,94.56,5.44,El Paso,0
R00320,06-11-20,Friday,SOCORRO ISD,71909,47098,2372,94.56,5.44,El Paso,0
R00321,08-09-20,Tuesday,KLEIN ISD,101915,54695,0,100.0,0.0,Harris,1
R00322,09-09-20,Wednesday,KLEIN ISD,101915,53327,635,98.81,1.19,Harris,1
R00323,10-09-20,Thursday,KLEIN ISD,101915,53728,796,98.52,1.48,Harris,1
R00324,11-09-20,Friday,KLEIN ISD,101915,53882,1031,98.09,1.91,Harris,1
R00325,14-09-20,Monday,KLEIN ISD,101915,54049,1112,97.94,2.06,Harris,0
R00326,15-09-20,Tuesday,KLEIN ISD,101915,54132,1084,98.0,2.0,Harris,0
R00327,16-09-20,Wednesday,KLEIN ISD,101915,54186,1064,98.04,1.96,Harris,1
R00328,17-09-20,Thursday,KLEIN ISD,101915,54219,1138,97.9,2.1,Harris,0
R00329,18-09-20,Friday,KLEIN ISD,101915,54245,1447,97.33,2.67,Harris,0
R00330,21-09-20,Monday,KLEIN ISD,101915,54287,1642,96.97,3.03,Harris,0
R00331,22-09-20,Tuesday,KLEIN ISD,101915,54280,3311,93.9,6.1,Harris,0
R00332,23-09-20,Wednesday,KLEIN ISD,101915,54313,1530,97.18,2.82,Harris,0
R00333,24-09-20,Thursday,KLEIN ISD,101915,54341,1214,97.77,2.23,Harris,0
R00334,25-09-20,Friday,KLEIN ISD,101915,54341,1505,97.23,2.77,Harris,0
R00335,28-09-20,Monday,KLEIN ISD,101915,54371,1519,97.21,2.79,Harris,0
R00336,29-09-20,Tuesday,KLEIN ISD,101915,54382,1274,97.66,2.34,Harris,0
R00337,30-09-20,Wednesday,KLEIN ISD,101915,54386,1174,97.84,2.16,Harris,0
R00338,01-10-20,Thursday,KLEIN ISD,101915,54396,1293,97.62,2.38,Harris,0
R00339,02-10-20,Friday,KLEIN ISD,101915,54402,1567,97.12,2.88,Harris,0
R00340,05-10-20,Monday,KLEIN ISD,101915,54425,1522,97.2,2.8,Harris,0
R00341,06-10-20,Tuesday,KLEIN ISD,101915,54446,1292,97.63,2.37,Harris,0
R00342,07-10-20,Wednesday,KLEIN ISD,101915,54446,1314,97.59,2.41,Harris,0
R00343,08-10-20,Thursday,KLEIN ISD,101915,54428,1562,97.13,2.87,Harris,0
R00344,13-10-20,Tuesday,KLEIN ISD,101915,54431,1500,97.24,2.76,Harris,0
R00345,14-10-20,Wednesday,KLEIN ISD,101915,54460,1311,97.59,2.41,Harris,0
R00346,15-10-20,Thursday,KLEIN ISD,101915,54456,1296,97.62,2.38,Harris,0
R00347,16-10-20,Friday,KLEIN ISD,101915,54474,1674,96.93,3.07,Harris,0
R00348,19-10-20,Monday,KLEIN ISD,101915,54474,1562,97.13,2.87,Harris,0
R00349,20-10-20,Tuesday,KLEIN ISD,101915,54515,1336,97.55,2.45,Harris,0
R00350,21-10-20,Wednesday,KLEIN ISD,101915,54519,1252,97.7,2.3,Harris,0
R00351,22-10-20,Thursday,KLEIN ISD,101915,54522,1264,97.68,2.32,Harris,0
R00352,23-10-20,Friday,KLEIN ISD,101915,54512,1711,96.86,3.14,Harris,0
R00353,26-10-20,Monday,KLEIN ISD,101915,54531,1583,97.1,2.9,Harris,0
R00354,27-10-20,Tuesday,KLEIN ISD,101915,54537,1261,97.69,2.31,Harris,0
R00355,28-10-20,Wednesday,KLEIN ISD,101915,54542,1275,97.66,2.34,Harris,0
R00356,29-10-20,Thursday,KLEIN ISD,101915,54549,1272,97.67,2.33,Harris,0
R00357,30-10-20,Friday,KLEIN ISD,101915,54546,1586,97.09,2.91,Harris,0
R00358,02-11-20,Monday,KLEIN ISD,101915,54520,1673,96.93,3.07,Harris,0
R00359,04-11-20,Wednesday,KLEIN ISD,101915,54516,1385,97.46,2.54,Harris,0
R00360,05-11-20,Thursday,KLEIN ISD,101915,54514,1331,97.56,2.44,Harris,0
R00361,06-11-20,Friday,KLEIN ISD,101915,54511,1683,96.91,3.09,Harris,0
R00362,09-11-20,Monday,KLEIN ISD,101915,54509,1719,96.85,3.15,Harris,0
R00363,10-11-20,Tuesday,KLEIN ISD,101915,54529,1510,97.23,2.77,Harris,0
R00364,11-11-20,Wednesday,KLEIN ISD,101915,54541,1493,97.26,2.74,Harris,0
R00365,12-11-20,Thursday,KLEIN ISD,101915,54547,1536,97.18,2.82,Harris,0
R00366,13-11-20,Friday,KLEIN ISD,101915,54548,2007,96.32,3.68,Harris,0
R00367,10-08-20,Monday,GARLAND ISD,57909,53265,7776,85.4,14.6,Dallas,0
R00368,11-08-20,Tuesday,GARLAND ISD,57909,53428,6197,88.4,11.6,Dallas,0
R00369,12-08-20,Wednesday,GARLAND ISD,57909,53526,5352,90.0,10.0,Dallas,0
R00370,13-08-20,Thursday,GARLAND ISD,57909,53545,4711,91.2,8.8,Dallas,0
R00371,14-08-20,Friday,GARLAND ISD,57909,53550,4658,91.3,8.7,Dallas,0
R00372,17-08-20,Monday,GARLAND ISD,57909,53500,4922,90.8,9.2,Dallas,0
R00373,18-08-20,Tuesday,GARLAND ISD,57909,53449,4382,91.8,8.2,Dallas,0
R00374,19-08-20,Wednesday,GARLAND ISD,57909,53373,3949,92.6,7.4,Dallas,0
R00375,20-08-20,Thursday,GARLAND ISD,57909,53279,4049,92.4,7.6,Dallas,0
R00376,21-08-20,Friday,GARLAND ISD,57909,53299,4423,91.7,8.3,Dallas,0
R00377,24-08-20,Monday,GARLAND ISD,57909,53262,4207,92.1,7.9,Dallas,0
R00378,25-08-20,Tuesday,GARLAND ISD,57909,53246,4206,92.1,7.9,Dallas,0
R00379,26-08-20,Wednesday,GARLAND ISD,57909,53259,3994,92.5,7.5,Dallas,0
R00380,27-08-20,Thursday,GARLAND ISD,57909,53268,4048,92.4,7.6,Dallas,0
R00381,28-08-20,Friday,GARLAND ISD,57909,53288,4316,91.9,8.1,Dallas,0
R00382,31-08-20,Monday,GARLAND ISD,57909,53269,4048,92.4,7.6,Dallas,0
R00383,01-09-20,Tuesday,GARLAND ISD,57909,53229,3992,92.5,7.5,Dallas,0
R00384,02-09-20,Wednesday,GARLAND ISD,57909,53135,4144,92.2,7.8,Dallas,0
R00385,03-09-20,Thursday,GARLAND ISD,57909,53147,4039,92.4,7.6,Dallas,0
R00386,04-09-20,Friday,GARLAND ISD,57909,53156,4784,91.0,9.0,Dallas,0
R00387,08-09-20,Tuesday,GARLAND ISD,57909,53181,3722,93.0,7.0,Dallas,0
R00388,09-09-20,Wednesday,GARLAND ISD,57909,53184,3510,93.4,6.6,Dallas,0
R00389,10-09-20,Thursday,GARLAND ISD,57909,53205,3511,93.4,6.6,Dallas,0
R00390,11-09-20,Friday,GARLAND ISD,57909,53218,3778,92.9,7.1,Dallas,0
R00391,14-09-20,Monday,GARLAND ISD,57909,53233,3619,93.2,6.8,Dallas,0
R00392,15-09-20,Tuesday,GARLAND ISD,57909,53236,3566,93.3,6.7,Dallas,0
R00393,16-09-20,Wednesday,GARLAND ISD,57909,53242,3513,93.4,6.6,Dallas,0
R00394,17-09-20,Thursday,GARLAND ISD,57909,53254,3141,94.1,5.9,Dallas,0
R00395,18-09-20,Friday,GARLAND ISD,57909,53237,3833,92.8,7.2,Dallas,0
R00396,21-09-20,Monday,GARLAND ISD,57909,53258,3728,93.0,7.0,Dallas,0
R00397,22-09-20,Tuesday,GARLAND ISD,57909,53262,3621,93.2,6.8,Dallas,0
R00398,23-09-20,Wednesday,GARLAND ISD,57909,53269,3515,93.4,6.6,Dallas,0
R00399,24-09-20,Thursday,GARLAND ISD,57909,53274,3622,93.2,6.8,Dallas,0
R00400,25-09-20,Friday,GARLAND ISD,57909,53015,3976,92.5,7.5,Dallas,0
R00401,28-09-20,Monday,GARLAND ISD,57909,53014,3923,92.6,7.4,Dallas,0
R00402,29-09-20,Tuesday,GARLAND ISD,57909,53009,3604,93.2,6.8,Dallas,0
R00403,30-09-20,Wednesday,GARLAND ISD,57909,53010,3498,93.4,6.6,Dallas,0
R00404,01-10-20,Thursday,GARLAND ISD,57909,53009,3604,93.2,6.8,Dallas,0
R00405,02-10-20,Friday,GARLAND ISD,57909,53003,3816,92.8,7.2,Dallas,0
R00406,12-10-20,Monday,GARLAND ISD,57909,53014,3817,92.8,7.2,Dallas,0
R00407,13-10-20,Tuesday,GARLAND ISD,57909,53021,3234,93.9,6.1,Dallas,0
R00408,14-10-20,Wednesday,GARLAND ISD,57909,53024,1590,97.0,3.0,Dallas,0
R00409,15-10-20,Thursday,GARLAND ISD,57909,53030,3287,93.8,6.2,Dallas,0
R00410,16-10-20,Friday,GARLAND ISD,57909,53051,3766,92.9,7.1,Dallas,0
R00411,19-10-20,Monday,GARLAND ISD,57909,53058,3661,93.1,6.9,Dallas,0
R00412,20-10-20,Tuesday,GARLAND ISD,57909,53019,3446,93.5,6.5,Dallas,0
R00413,21-10-20,Wednesday,GARLAND ISD,57909,53022,3393,93.6,6.4,Dallas,0
R00414,22-10-20,Thursday,GARLAND ISD,57909,53047,3235,93.9,6.1,Dallas,0
R00415,23-10-20,Friday,GARLAND ISD,57909,53047,3925,92.6,7.4,Dallas,0
R00416,26-10-20,Monday,GARLAND ISD,57909,53068,3608,93.2,6.8,Dallas,0
R00417,27-10-20,Tuesday,GARLAND ISD,57909,53080,3397,93.6,6.4,Dallas,0
R00418,28-10-20,Wednesday,GARLAND ISD,57909,53075,3396,93.6,6.4,Dallas,0
R00419,29-10-20,Thursday,GARLAND ISD,57909,53089,3397,93.6,6.4,Dallas,0
R00420,30-10-20,Friday,GARLAND ISD,57909,53111,2655,95.0,5.0,Dallas,0
R00421,02-11-20,Monday,GARLAND ISD,57909,53116,2602,95.1,4.9,Dallas,0
R00422,04-11-20,Wednesday,GARLAND ISD,57909,53111,2336,95.6,4.4,Dallas,0
R00423,05-11-20,Thursday,GARLAND ISD,57909,53112,2283,95.7,4.3,Dallas,0
R00424,06-11-20,Friday,GARLAND ISD,57909,53112,2602,95.1,4.9,Dallas,0
R00425,09-11-20,Monday,GARLAND ISD,57909,53136,2391,95.5,4.5,Dallas,0
R00426,10-11-20,Tuesday,GARLAND ISD,57909,53160,2232,95.8,4.2,Dallas,0
R00427,11-11-20,Wednesday,GARLAND ISD,57909,53164,2498,95.3,4.7,Dallas,0
R00428,12-11-20,Thursday,GARLAND ISD,57909,53154,2285,95.7,4.3,Dallas,0
R00429,08-09-20,Tuesday,DALLAS ISD,57905,125031,11135,91.09,8.91,Dallas,0
R00430,09-09-20,Wednesday,DALLAS ISD,57905,126715,7371,94.18,5.82,Dallas,0
R00431,10-09-20,Thursday,DALLAS ISD,57905,125306,6397,94.89,5.11,Dallas,0
R00432,11-09-20,Friday,DALLAS ISD,57905,126417,6479,94.87,5.13,Dallas,0
R00433,14-09-20,Monday,DALLAS ISD,57905,131257,8218,93.74,6.26,Dallas,0
R00434,15-09-20,Tuesday,DALLAS ISD,57905,132767,7935,94.02,5.98,Dallas,0
R00435,16-09-20,Wednesday,DALLAS ISD,57905,128594,7391,94.25,5.75,Dallas,0
R00436,17-09-20,Thursday,DALLAS ISD,57905,134433,8021,94.03,5.97,Dallas,0
R00437,18-09-20,Friday,DALLAS ISD,57905,132642,9168,93.09,6.91,Dallas,0
R00438,21-09-20,Monday,DALLAS ISD,57905,138387,10231,92.61,7.39,Dallas,0
R00439,22-09-20,Tuesday,DALLAS ISD,57905,137037,10422,92.39,7.61,Dallas,0
R00440,23-09-20,Wednesday,DALLAS ISD,57905,130502,9263,92.9,7.1,Dallas,0
R00441,24-09-20,Thursday,DALLAS ISD,57905,135862,10751,92.09,7.91,Dallas,0
R00442,25-09-20,Friday,DALLAS ISD,57905,135738,11270,91.7,8.3,Dallas,0
R00443,28-09-20,Monday,DALLAS ISD,57905,139621,11992,91.41,8.59,Dallas,0
R00444,29-09-20,Tuesday,DALLAS ISD,57905,142665,11147,92.19,7.81,Dallas,0
R00445,30-09-20,Wednesday,DALLAS ISD,57905,138006,10836,92.15,7.85,Dallas,0
R00446,01-10-20,Thursday,DALLAS ISD,57905,142190,11882,91.64,8.36,Dallas,0
R00447,02-10-20,Friday,DALLAS ISD,57905,138864,13360,90.38,9.62,Dallas,0
R00448,05-10-20,Monday,DALLAS ISD,57905,141016,10816,92.33,7.67,Dallas,0
R00449,06-10-20,Tuesday,DALLAS ISD,57905,142139,10528,92.59,7.41,Dallas,0
R00450,07-10-20,Wednesday,DALLAS ISD,57905,141862,9887,93.03,6.97,Dallas,0
R00451,08-10-20,Thursday,DALLAS ISD,57905,142795,10880,92.38,7.62,Dallas,0
R00452,09-10-20,Friday,DALLAS ISD,57905,144255,11772,91.84,8.16,Dallas,0
R00453,12-10-20,Monday,DALLAS ISD,57905,144102,13965,90.31,9.69,Dallas,0
R00454,13-10-20,Tuesday,DALLAS ISD,57905,144305,11554,91.99,8.01,Dallas,0
R00455,14-10-20,Wednesday,DALLAS ISD,57905,142700,10079,92.94,7.06,Dallas,0
R00456,15-10-20,Thursday,DALLAS ISD,57905,144306,11333,92.15,7.85,Dallas,0
R00457,16-10-20,Friday,DALLAS ISD,57905,144345,12535,91.32,8.68,Dallas,0
R00458,19-10-20,Monday,DALLAS ISD,57905,145315,12990,91.06,8.94,Dallas,0
R00459,20-10-20,Tuesday,DALLAS ISD,57905,143624,10814,92.47,7.53,Dallas,0
R00460,21-10-20,Wednesday,DALLAS ISD,57905,145658,11957,91.79,8.21,Dallas,0
R00461,22-10-20,Thursday,DALLAS ISD,57905,144524,12735,91.19,8.81,Dallas,0
R00462,23-10-20,Friday,DALLAS ISD,57905,145473,13392,90.79,9.21,Dallas,0
R00463,26-10-20,Monday,DALLAS ISD,57905,146016,13970,90.43,9.57,Dallas,0
R00464,27-10-20,Tuesday,DALLAS ISD,57905,146129,13019,91.09,8.91,Dallas,0
R00465,28-10-20,Wednesday,DALLAS ISD,57905,143267,12122,91.54,8.46,Dallas,0
R00466,29-10-20,Thursday,DALLAS ISD,57905,146298,12593,91.39,8.61,Dallas,0
R00467,30-10-20,Friday,DALLAS ISD,57905,145135,13917,90.41,9.59,Dallas,0
R00468,02-11-20,Monday,DALLAS ISD,57905,145298,13055,91.02,8.98,Dallas,0
R00469,03-11-20,Tuesday,DALLAS ISD,57905,504,3,99.4,0.6,Dallas,1
R00470,04-11-20,Wednesday,DALLAS ISD,57905,145629,13119,90.99,9.01,Dallas,0
R00471,05-11-20,Thursday,DALLAS ISD,57905,146358,12086,91.74,8.26,Dallas,0
R00472,06-11-20,Friday,DALLAS ISD,57905,146850,13159,91.04,8.96,Dallas,0
R00473,09-11-20,Monday,DALLAS ISD,57905,146797,12226,91.67,8.33,Dallas,0
R00474,10-11-20,Tuesday,DALLAS ISD,57905,147222,12105,91.78,8.22,Dallas,0
R00475,11-11-20,Wednesday,DALLAS ISD,57905,145445,10956,92.47,7.53,Dallas,0
R00476,12-11-20,Thursday,DALLAS ISD,57905,147442,12352,91.62,8.38,Dallas,0
R00477,13-11-20,Friday,DALLAS ISD,57905,146970,13069,91.11,8.89,Dallas,0
R00478,16-11-20,Monday,DALLAS ISD,57905,147758,14322,90.31,9.69,Dallas,0
R00479,17-11-20,Tuesday,DALLAS ISD,57905,147923,12842,91.32,8.68,Dallas,0
R00480,18-11-20,Wednesday,DALLAS ISD,57905,145928,11477,92.14,7.86,Dallas,0
R00481,19-11-20,Thursday,DALLAS ISD,57905,146827,12255,91.65,8.35,Dallas,0
R00482,20-11-20,Friday,DALLAS ISD,57905,145691,13888,90.47,9.53,Dallas,0
R00483,12-08-20,Wednesday,FORT WORTH ISD,220905,1087,5,99.54,0.46,Tarrant,1
R00484,12-08-20,Wednesday,FORT WORTH ISD,220905,1087,5,99.54,0.46,Tarrant,1
R00485,13-08-20,Thursday,FORT WORTH ISD,220905,1112,32,97.12,2.88,Tarrant,0
R00486,13-08-20,Thursday,FORT WORTH ISD,220905,1112,32,97.12,2.88,Tarrant,0
R00487,14-08-20,Friday,FORT WORTH ISD,220905,1112,31,97.21,2.79,Tarrant,0
R00488,14-08-20,Friday,FORT WORTH ISD,220905,1112,31,97.21,2.79,Tarrant,0
R00489,17-08-20,Monday,FORT WORTH ISD,220905,1116,21,98.12,1.88,Tarrant,1
R00490,17-08-20,Monday,FORT WORTH ISD,220905,1116,21,98.12,1.88,Tarrant,1
R00491,18-08-20,Tuesday,FORT WORTH ISD,220905,1117,47,95.79,4.21,Tarrant,0
R00492,18-08-20,Tuesday,FORT WORTH ISD,220905,1117,47,95.79,4.21,Tarrant,0
R00493,19-08-20,Wednesday,FORT WORTH ISD,220905,1118,29,97.41,2.59,Tarrant,0
R00494,19-08-20,Wednesday,FORT WORTH ISD,220905,1118,29,97.41,2.59,Tarrant,0
R00495,20-08-20,Thursday,FORT WORTH ISD,220905,1117,43,96.15,3.85,Tarrant,0
R00496,20-08-20,Thursday,FORT WORTH ISD,220905,1117,43,96.15,3.85,Tarrant,0
R00497,21-08-20,Friday,FORT WORTH ISD,220905,1115,32,97.13,2.87,Tarrant,0
R00498,21-08-20,Friday,FORT WORTH ISD,220905,1115,32,97.13,2.87,Tarrant,0
R00499,24-08-20,Monday,FORT WORTH ISD,220905,1114,26,97.67,2.33,Tarrant,0
R00500,24-08-20,Monday,FORT WORTH ISD,220905,1114,26,97.67,2.33,Tarrant,0
R00501,25-08-20,Tuesday,FORT WORTH ISD,220905,1116,37,96.68,3.32,Tarrant,0
R00502,25-08-20,Tuesday,FORT WORTH ISD,220905,1116,37,96.68,3.32,Tarrant,0
R00503,31-08-20,Monday,FORT WORTH ISD,220905,1116,34,96.95,3.05,Tarrant,0
R00504,31-08-20,Monday,FORT WORTH ISD,220905,1116,34,96.95,3.05,Tarrant,0
R00505,01-09-20,Tuesday,FORT WORTH ISD,220905,1116,36,96.77,3.23,Tarrant,0
R00506,01-09-20,Tuesday,FORT WORTH ISD,220905,1116,36,96.77,3.23,Tarrant,0
R00507,02-09-20,Wednesday,FORT WORTH ISD,220905,1116,42,96.24,3.76,Tarrant,0
R00508,02-09-20,Wednesday,FORT WORTH ISD,220905,1116,42,96.24,3.76,Tarrant,0
R00509,03-09-20,Thursday,FORT WORTH ISD,220905,1116,47,95.79,4.21,Tarrant,0
R00510,03-09-20,Thursday,FORT WORTH ISD,220905,1116,47,95.79,4.21,Tarrant,0
R00511,04-09-20,Friday,FORT WORTH ISD,220905,1116,26,97.67,2.33,Tarrant,0
R00512,04-09-20,Friday,FORT WORTH ISD,220905,1116,26,97.67,2.33,Tarrant,0
R00513,08-09-20,Tuesday,FORT WORTH ISD,220905,76260,895,98.83,1.17,Tarrant,1
R00514,08-09-20,Tuesday,FORT WORTH ISD,220905,76260,895,98.83,1.17,Tarrant,1
R00515,09-09-20,Wednesday,FORT WORTH ISD,220905,79609,2859,96.41,3.59,Tarrant,0
R00516,09-09-20,Wednesday,FORT WORTH ISD,220905,79609,2859,96.41,3.59,Tarrant,0
R00517,10-09-20,Thursday,FORT WORTH ISD,220905,80974,3235,96.0,4.0,Tarrant,0
R00518,10-09-20,Thursday,FORT WORTH ISD,220905,80974,3235,96.0,4.0,Tarrant,0
R00519,11-09-20,Friday,FORT WORTH ISD,220905,81608,4054,95.03,4.97,Tarrant,0
R00520,11-09-20,Friday,FORT WORTH ISD,220905,81608,4054,95.03,4.97,Tarrant,0
R00521,14-09-20,Monday,FORT WORTH ISD,220905,82131,4402,94.64,5.36,Tarrant,0
R00522,14-09-20,Monday,FORT WORTH ISD,220905,82131,4402,94.64,5.36,Tarrant,0
R00523,15-09-20,Tuesday,FORT WORTH ISD,220905,82484,4518,94.52,5.48,Tarrant,0
R00524,15-09-20,Tuesday,FORT WORTH ISD,220905,82484,4518,94.52,5.48,Tarrant,0
R00525,16-09-20,Wednesday,FORT WORTH ISD,220905,82699,4201,94.92,5.08,Tarrant,0
R00526,16-09-20,Wednesday,FORT WORTH ISD,220905,82699,4201,94.92,5.08,Tarrant,0
R00527,17-09-20,Thursday,FORT WORTH ISD,220905,82904,4451,94.63,5.37,Tarrant,0
R00528,17-09-20,Thursday,FORT WORTH ISD,220905,82904,4451,94.63,5.37,Tarrant,0
R00529,18-09-20,Friday,FORT WORTH ISD,220905,83006,5376,93.52,6.48,Tarrant,0
R00530,18-09-20,Friday,FORT WORTH ISD,220905,83006,5376,93.52,6.48,Tarrant,0
R00531,21-09-20,Monday,FORT WORTH ISD,220905,83130,5786,93.04,6.96,Tarrant,0
R00532,21-09-20,Monday,FORT WORTH ISD,220905,83130,5786,93.04,6.96,Tarrant,0
R00533,22-09-20,Tuesday,FORT WORTH ISD,220905,83236,5052,93.93,6.07,Tarrant,0
R00534,22-09-20,Tuesday,FORT WORTH ISD,220905,83236,5052,93.93,6.07,Tarrant,0
R00535,23-09-20,Wednesday,FORT WORTH ISD,220905,83334,5238,93.71,6.29,Tarrant,0
R00536,23-09-20,Wednesday,FORT WORTH ISD,220905,83334,5238,93.71,6.29,Tarrant,0
R00537,24-09-20,Thursday,FORT WORTH ISD,220905,83403,5094,93.89,6.11,Tarrant,0
R00538,24-09-20,Thursday,FORT WORTH ISD,220905,83403,5094,93.89,6.11,Tarrant,0
R00539,25-09-20,Friday,FORT WORTH ISD,220905,83430,5948,92.87,7.13,Tarrant,0
R00540,25-09-20,Friday,FORT WORTH ISD,220905,83430,5948,92.87,7.13,Tarrant,0
R00541,28-09-20,Monday,FORT WORTH ISD,220905,83440,6109,92.68,7.32,Tarrant,0
R00542,28-09-20,Monday,FORT WORTH ISD,220905,83440,6109,92.68,7.32,Tarrant,0
R00543,29-09-20,Tuesday,FORT WORTH ISD,220905,83493,6014,92.8,7.2,Tarrant,0
R00544,29-09-20,Tuesday,FORT WORTH ISD,220905,83493,6014,92.8,7.2,Tarrant,0
R00545,30-09-20,Wednesday,FORT WORTH ISD,220905,83547,6227,92.55,7.45,Tarrant,0
R00546,30-09-20,Wednesday,FORT WORTH ISD,220905,83547,6227,92.55,7.45,Tarrant,0
R00547,01-10-20,Thursday,FORT WORTH ISD,220905,83543,6546,92.16,7.84,Tarrant,0
R00548,01-10-20,Thursday,FORT WORTH ISD,220905,83543,6546,92.16,7.84,Tarrant,0
R00549,02-10-20,Friday,FORT WORTH ISD,220905,83535,6216,92.56,7.44,Tarrant,0
R00550,02-10-20,Friday,FORT WORTH ISD,220905,83535,6216,92.56,7.44,Tarrant,0
R00551,05-10-20,Monday,FORT WORTH ISD,220905,83597,6058,92.75,7.25,Tarrant,0
R00552,05-10-20,Monday,FORT WORTH ISD,220905,83597,6058,92.75,7.25,Tarrant,0
R00553,06-10-20,Tuesday,FORT WORTH ISD,220905,83698,5860,93.0,7.0,Tarrant,0
R00554,06-10-20,Tuesday,FORT WORTH ISD,220905,83698,5860,93.0,7.0,Tarrant,0
R00555,07-10-20,Wednesday,FORT WORTH ISD,220905,83763,6617,92.1,7.9,Tarrant,0
R00556,07-10-20,Wednesday,FORT WORTH ISD,220905,83763,6617,92.1,7.9,Tarrant,0
R00557,08-10-20,Thursday,FORT WORTH ISD,220905,83812,6194,92.61,7.39,Tarrant,0
R00558,08-10-20,Thursday,FORT WORTH ISD,220905,83812,6194,92.61,7.39,Tarrant,0
R00559,13-10-20,Tuesday,FORT WORTH ISD,220905,83816,7385,91.19,8.81,Tarrant,0
R00560,13-10-20,Tuesday,FORT WORTH ISD,220905,83816,7385,91.19,8.81,Tarrant,0
R00561,14-10-20,Wednesday,FORT WORTH ISD,220905,83939,6075,92.76,7.24,Tarrant,0
R00562,14-10-20,Wednesday,FORT WORTH ISD,220905,83939,6075,92.76,7.24,Tarrant,0
R00563,15-10-20,Thursday,FORT WORTH ISD,220905,83998,6084,92.76,7.24,Tarrant,0
R00564,15-10-20,Thursday,FORT WORTH ISD,220905,83998,6084,92.76,7.24,Tarrant,0
R00565,16-10-20,Friday,FORT WORTH ISD,220905,84042,5754,93.15,6.85,Tarrant,0
R00566,16-10-20,Friday,FORT WORTH ISD,220905,84042,5754,93.15,6.85,Tarrant,0
R00567,19-10-20,Monday,FORT WORTH ISD,220905,84055,6655,92.08,7.92,Tarrant,0
R00568,19-10-20,Monday,FORT WORTH ISD,220905,84055,6655,92.08,7.92,Tarrant,0
R00569,20-10-20,Tuesday,FORT WORTH ISD,220905,84222,5620,93.33,6.67,Tarrant,0
R00570,20-10-20,Tuesday,FORT WORTH ISD,220905,84222,5620,93.33,6.67,Tarrant,0
